layer,head,mean_gap,p99,p999,cum4,cum8,cum16,cum32
2,2,1584.8184771944118,14,26,0.9200953133706592,0.9664847552747472,0.9951395576123455,0.9998653537501483
2,3,1630.5245096698459,11,26,0.9783787955006705,0.9865585439361644,0.9949909653033774,0.9997683388318566
2,4,1571.9486702352267,17,30,0.9448004619641318,0.9683168666818505,0.988851871637528,0.999455485188678
2,5,1682.92568312111,13,23,0.950154013837463,0.9764414295414103,0.9960129330872705,0.9998925304728163
2,6,1782.0824406919114,28,38,0.9012498770140601,0.9284555772790565,0.9645469608965737,0.9955143266686829
2,7,1523.63160538713,9,22,0.9681421402132051,0.9881589539103711,0.9974202565402007,0.9999158113678879
2,8,1698.8857052572303,10,23,0.9728683828028237,0.9868909025409832,0.9963595033238228,0.9999430073733645
2,9,1683.2482045037905,12,26,0.9683227004088012,0.9833113456710281,0.9945172003750441,0.9997280706531021
2,10,1691.2344584776872,10,22,0.9673285042667957,0.9859853288603756,0.9979475395453543,0.9999156990214846
2,11,1635.6403758863453,13,24,0.9532064466837462,0.9795237742049578,0.9948975272245782,0.9998453906470015
2,12,1684.6322173888293,12,24,0.9544315095237837,0.9781104095450026,0.9962365018207593,0.9999293394557305
2,13,1762.1898573920275,14,27,0.9126314655797073,0.9580097767464375,0.9939048197498932,0.9997674228106336
2,14,1630.0672775916946,13,27,0.9735018188661406,0.9843011229763914,0.9935415541348177,0.9997010634561178
2,15,1536.5797545368605,5,17,0.9875125688589479,0.996003531708498,0.9989515480442359,0.9999535801448084
2,16,1685.7834418966097,13,23,0.9343206985213276,0.9729228620438762,0.9961291502893216,0.9999313508031317
2,17,1669.3844214615906,13,25,0.9471331436674646,0.9754699422362895,0.995776110843085,0.9997639060122042
2,18,1783.4623605840948,15,31,0.9389383069184652,0.9680029933365176,0.9918601410138568,0.9994002117820918
2,19,1732.5467450546162,14,27,0.9292744168349127,0.9672338958111043,0.9939718639165895,0.9997657326132221
2,20,1688.6084398117982,10,26,0.9748823616188765,0.9869095551985847,0.9958668198378559,0.9998262016523751
2,21,1544.802326294782,4,16,0.992236971142914,0.997057170851493,0.9991044730433113,0.9999027222123013
2,22,1505.7582028022869,5,21,0.9894465161959407,0.99541880682934,0.9982973093578434,0.9998584506931973
2,23,1316.5258217479063,5,21,0.9886741191654201,0.9951723582877693,0.9981888885848476,0.9998413732338935
2,24,1711.2025732016368,15,27,0.9246155114222836,0.9640022262768125,0.9938524736548611,0.9997531415321698
2,25,1484.4251445098812,4,16,0.9927581812281981,0.9970649690313073,0.9991152000682643,0.999971006586292
2,26,1768.5200193576422,20,36,0.8821596541562388,0.9519179595586509,0.9857802347827943,0.9980553578792247
2,27,1574.1635027892123,8,18,0.9718917998248033,0.9912581317485525,0.9986493191867716,0.9999344931048634
2,28,1630.2186606555922,15,26,0.961730441861942,0.9776722354560459,0.9923144069342542,0.9998877357180229
2,29,1503.4741502237544,11,18,0.9413102813349726,0.9781177414217261,0.9984176106799356,0.9999769358437097
2,30,1579.8000953994408,13,24,0.9258918537433264,0.9658556015063615,0.9953429072215593,0.9998969265486525
2,31,1726.959651988773,15,27,0.922715426162042,0.9655283768119671,0.9929701819620212,0.999811324769759
3,0,1828.4880378450957,20,37,0.9462232693340037,0.9739462516712063,0.986909308316294,0.9973222535861942
3,1,1814.6626850538246,5,14,0.9859209687507358,0.9971619242236421,0.9994932091496763,0.9999796066602948
3,2,1777.402953559237,9,19,0.9670388623526284,0.9889846739149483,0.9985837222788042,0.9998686554552516
3,3,1733.7779274818597,7,15,0.9736525707155148,0.9955661431076208,0.999222250052908,0.9999493428628374
3,4,1819.9744665817573,9,24,0.9692160024384939,0.9881122460774143,0.996717137313918,0.9998399239849429
