src,seq,layer,method,rho,kl,relL2
c4,0,8,d,0.125,0.06803416460752487,0.477966845035553
c4,0,9,a,0.5,0.005410049110651016,0.1183757558465004
c4,0,9,a,0.25,0.016088658943772316,0.1918310821056366
c4,0,9,a,0.125,0.027936436235904694,0.2530219256877899
c4,0,9,b,0.5,0.04454074054956436,0.4738343060016632
c4,0,9,b,0.25,0.11409982293844223,0.6614381074905396
c4,0,9,b,0.125,0.1936323642730713,0.7589390277862549
c4,0,9,bp,0.5,0.07125620543956757,0.5674450993537903
c4,0,9,bp,0.25,0.14976254105567932,0.6957026124000549
c4,0,9,bp,0.125,0.2431906908750534,0.8032478094100952
c4,0,9,c,0.5,0.039557795971632004,0.4044347405433655
c4,0,9,c,0.25,0.09344583749771118,0.5793966054916382
c4,0,9,c,0.125,0.1611199975013733,0.6768448948860168
c4,0,9,d,0.5,0.02779155597090721,0.27391186356544495
c4,0,9,d,0.25,0.05376756191253662,0.3907823860645294
c4,0,9,d,0.125,0.08462397754192352,0.49586138129234314
c4,0,10,a,0.5,0.004664791282266378,0.10259577631950378
c4,0,10,a,0.25,0.016409678384661674,0.18674296140670776
c4,0,10,a,0.125,0.030507240444421768,0.2623109221458435
c4,0,10,b,0.5,0.0543513223528862,0.44713956117630005
c4,0,10,b,0.25,0.14269158244132996,0.6286182999610901
c4,0,10,b,0.125,0.24202923476696014,0.7516726851463318
c4,0,10,bp,0.5,0.08843959122896194,0.5197806358337402
c4,0,10,bp,0.25,0.19207707047462463,0.7092569470405579
c4,0,10,bp,0.125,0.3273604214191437,0.8362137675285339
c4,0,10,c,0.5,0.04535529389977455,0.3765996992588043
c4,0,10,c,0.25,0.11406804621219635,0.5600135326385498
c4,0,10,c,0.125,0.1969182938337326,0.6871968507766724
c4,0,10,d,0.5,0.02926820144057274,0.2633509039878845
c4,0,10,d,0.25,0.06461909413337708,0.4770192801952362
c4,0,10,d,0.125,0.10233040153980255,0.5922326445579529
c4,0,11,a,0.5,0.004892999306321144,0.13471919298171997
c4,0,11,a,0.25,0.018203267827630043,0.24046695232391357
c4,0,11,a,0.125,0.03434866666793823,0.3044365346431732
c4,0,11,b,0.5,0.03307517617940903,0.3214000165462494
c4,0,11,b,0.25,0.10897211730480194,0.5656127333641052
c4,0,11,b,0.125,0.22551457583904266,0.7239131331443787
c4,0,11,bp,0.5,0.08668538928031921,0.5085420608520508
c4,0,11,bp,0.25,0.22058531641960144,0.7030075788497925
c4,0,11,bp,0.125,0.3713720440864563,0.807316243648529
c4,0,11,c,0.5,0.03038637898862362,0.3306589424610138
c4,0,11,c,0.25,0.0929887443780899,0.5296260714530945
c4,0,11,c,0.125,0.18700732290744781,0.6782940626144409
c4,0,11,d,0.5,0.027139969170093536,0.2842237949371338
c4,0,11,d,0.25,0.05372194945812225,0.397445946931839
c4,0,11,d,0.125,0.08476315438747406,0.4793417453765869
c4,0,12,a,0.5,0.0058364542201161385,0.1247401237487793
c4,0,12,a,0.25,0.01661967672407627,0.19933655858039856
c4,0,12,a,0.125,0.02935754507780075,0.2577941119670868
c4,0,12,b,0.5,0.04393520951271057,0.37414875626564026
c4,0,12,b,0.25,0.12021943181753159,0.5821561217308044
c4,0,12,b,0.125,0.21383926272392273,0.7673406004905701
c4,0,12,bp,0.5,0.08631149679422379,0.510366678237915
c4,0,12,bp,0.25,0.19259458780288696,0.7454591393470764
c4,0,12,bp,0.125,0.31305834650993347,0.8734462857246399
c4,0,12,c,0.5,0.04010504484176636,0.3330000936985016
c4,0,12,c,0.25,0.10303574800491333,0.5469829440116882
c4,0,12,c,0.125,0.18062400817871094,0.7043068408966064
c4,0,12,d,0.5,0.02791055291891098,0.25292661786079407
c4,0,12,d,0.25,0.054279692471027374,0.37372148036956787
c4,0,12,d,0.125,0.08591748774051666,0.4883052706718445
c4,0,13,a,0.5,0.005141048692166805,0.10347631573677063
